institution,type,in-state-cost,out-state-cost
Woodbury University,Private,56497,56497
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,Private,26600,26600
Zaytuna College,Private,37360,37360
Adams State University,Public,22708,33724
Colorado Christian University,Private,45525,45525
Colorado College,Private,71642,71642
Colorado Mesa University,Public,24142,36459
Colorado Mountain College,Public,16546,23098
Colorado School of Mines,Public,35498,55118
Colorado State University-Fort Collins,Public,26231,44132
Colorado State University-Pueblo,Public,27280,43201
Fort Lewis College,Public,25428,36084
Johnson & Wales University-Denver,Private,48429,48429
Naropa University,Private,50810,50810
Regis University,Private,53192,53192
University of Colorado Boulder,Public,31044,55798
University of Colorado Colorado Springs,Public,25843,37387
University of Colorado Denver/Anschutz Medical Campus,Public,29357,45845
University of Denver,Private,67656,67656
University of Northern Colorado,Public,25494,37362
Western State Colorado University,Public,24073,35545
Albertus Magnus College,Private,53124,53124
Central Connecticut State University,Public,25869,38377
Connecticut College,Private,71970,71970
Eastern Connecticut State University,Public,27967,40475
Fairfield University,Private,65940,65940
Goodwin College,Private,33970,33970
Holy Apostles College and Seminary,Private,22220,22220
Lincoln College of New England-Southington,For-Profit,37510,37510
Mitchell College,Private,50600,50600
Post University,For-Profit,33560,33560
Quinnipiac University,Private,65300,65300
Sacred Heart University,Private,60580,60580
Southern Connecticut State University,Public,26810,39320
Trinity College,Private,74160,74160
University of Bridgeport,Private,55583,55583
University of Connecticut,Public,32404,54772
University of Connecticut-Stamford,Public,33294,55662
University of Hartford,Private,56599,56599
University of New Haven,Private,58306,58306
University of Saint Joseph,Private,51901,51901
Wesleyan University,Private,72669,72669
Western Connecticut State University,Public,27481,39989
Yale University,Private,73900,73900
Delaware State University,Public,23420,32456
Goldey-Beacom College,Private,39590,39590
University of Delaware,Public,29342,49972
Wesley College,Private,42248,42248
American University,Private,66268,66268
Catholic University of America,Private,64560,64560
Gallaudet University,Private,38176,38176
George Washington University,Private,71930,71930
Georgetown University,Private,73840,73840
Howard University,Private,44651,44651
Trinity Washington University,Private,37970,37970
AdventHealth University,Private,25304,25304
Ave Maria University,Private,36261,36261
Barry University,Private,46898,46898
Beacon College,Private,57506,57506
Bethune-Cookman University,Private,29876,29876
Chipola College,Public,11415,17245
Eckerd College,Private,61576,61576
Edward Waters College,Private,25083,25083
Embry-Riddle Aeronautical University-Daytona Beach,Private,53250,53250
Flagler College-St Augustine,Private,34990,34990
Florida Agricultural and Mechanical University,Public,23207,35147
Florida Atlantic University,Public,24235,36680
Florida College,Private,30062,30062
Florida Gateway College,Public,11767,20414
Florida Gulf Coast University,Public,20390,39434
Florida Institute of Technology,Private,59530,59530
Florida International University,Public,23496,35904
Florida Keys Community College,Public,20961,30847
Florida Memorial University,Private,29812,29812
Florida Polytechnic University,Public,21570,21570
Florida Southern College,Private,52020,52020
Florida SouthWestern State College,Public,16371,25949
Florida State College at Jacksonville,Public,14589,21703
Florida State University,Public,22168,35298
Hobe Sound Bible College,Private,15865,15865
Jacksonville University,Private,54868,54868
Johnson & Wales University-North Miami,Private,48429,48429
Johnson University Florida,Private,26718,26718
Lynn University,Private,56823,56823
New College of Florida,Public,20650,43678
Nova Southeastern University,Private,50597,50597
Palm Beach Atlantic University,Private,48914,48914
Ringling College of Art and Design,Private,67554,67554
Rollins College,Private,67862,67862
Saint John Vianney College Seminary,Private,37200,37200
Saint Leo University,Private,39796,39796
Southeastern University,Private,39702,39702
St. Thomas University,Private,49276,49276
Stetson University,Private,63282,63282
Talmudic College of Florida,Private,26650,26650
The Baptist College of Florida,Private,19062,19062
The University of Tampa,Private,45450,45450
The University of West Florida,Public,19014,31895
Trinity Baptist College,Private,23230,23230
Trinity College of Florida,Private,26840,26840
University of Central Florida,Public,22548,38647
University of Florida,Public,21211,43489
University of Miami,Private,68460,68460
University of North Florida,Public,21384,35788
University of South Florida-Main Campus,Public,23320,34234
University of South Florida-St Petersburg,Public,22731,33646
Warner University,Private,33568,33568
Webber International University,Private,41394,41394
Yeshivah Gedolah Rabbinical College,Private,17200,17200
Abraham Baldwin Agricultural College,Public,15345,22083
Agnes Scott College,Private,55625,55625
Albany State University,Public,19133,29594
Andrew College,Private,37528,37528
Augusta University,Public,21254,35806
Berry College,Private,52480,52480
Beulah Heights University,Private,22460,22460
Brenau University,Private,45518,45518
Brewton-Parker College,Private,31598,31598
Carver Bible College,Private,25000,25000
Clark Atlanta University,Private,38154,38154
Clayton State University,Public,20012,30473
College of Coastal Georgia,Public,21706,30158
Columbus State University,Public,21746,32532
Covenant College,Private,47430,47430
Dalton State College,Public,16612,25034
East Georgia State College,Public,16478,22675
Emmanuel College,Private,31592,31592
Emory University,Private,69502,69502
Fort Valley State University,Public,21530,34610
Georgia College & State University,Public,28536,47250
Georgia Gwinnett College,Public,24714,35428
Georgia Institute of Technology-Main Campus,Public,28776,49372
Georgia Military College,Public,18051,18051
Georgia Southern University,Public,23014,33800
Georgia Southwestern State University,Public,19424,29885
Georgia State University,Public,26014,40873
Gordon State College,Public,17067,23249
Kennesaw State University,Public,25773,36755
LaGrange College,Private,46180,46180
Life University,Private,39096,39096
Mercer University,Private,52488,52488
Middle Georgia State University,Public,15895,23063
Morehouse College,Private,48500,48500
