institution,type,in-state-cost,out-state-cost
Tougaloo College,Private,22840,22840
University of Mississippi,Public,25436,41390
University of Southern Mississippi,Public,24048,26048
William Carey University,Private,22694,22694
Avila University,Private,31598,31598
Baptist Bible College,Private,25500,25500
Calvary University,Private,18712,18712
Central Christian College of the Bible,Private,24043,24043
Central Methodist University-College of Liberal Arts and Sciences,Private,38840,38840
College of the Ozarks,Private,30220,30220
Columbia College,Private,36352,36352
Conception Seminary College,Private,38200,38200
Cottey College,Private,32536,32536
Culver-Stockton College,Private,39800,39800
Drury University,Private,40951,40951
Drury University-College of Continuing Professional Studies,Private,22777,22777
Evangel University,Private,37374,37374
Fontbonne University,Private,41982,41982
Hannibal-LaGrange University,Private,34700,34700
Harris-Stowe State University,Public,21778,26410
Kansas City Art Institute,Private,55050,55050
Kenrick Glennon Seminary,Private,38190,38190
Lincoln University,Public,19752,26292
Lindenwood University,Private,30500,30500
Maryville University of Saint Louis,Private,46076,46076
Midwestern Baptist Theological Seminary,Private,20256,20256
Missouri Baptist University,Private,41185,41185
Missouri Southern State University,Public,17666,24168
Missouri State University-Springfield,Public,21782,29732
Missouri University of Science and Technology,Public,22440,39461
Missouri Valley College,Private,34730,34730
Missouri Western State University,Public,20575,26450
Northwest Missouri State University,Public,19751,25073
Ozark Christian College,Private,22178,22178
Park University,Private,24499,24499
Ranken Technical College,Private,25239,25239
Rockhurst University,Private,53031,53031
Saint Louis Christian College,Private,20910,20910
Saint Louis University,Private,61018,61018
Southeast Missouri State University,Public,21570,27307
Southwest Baptist University,Private,35298,35298
St. Louis College of Pharmacy,Private,47342,47342
Stephens College,Private,45401,45401
Truman State University,Public,21329,28181
University of Central Missouri,Public,19953,26722
University of Missouri-Columbia,Public,26766,43836
University of Missouri-Kansas City,Public,24116,36145
University of Missouri-St Louis,Public,24894,41142
Washington University in St Louis,Private,74361,74361
Webster University,Private,45762,45762
Westminster College,Private,42630,42630
William Jewell College,Private,48998,48998
William Woods University,Private,41010,41010
Carroll College,Private,49696,49696
Montana State University,Public,22453,40169
Montana State University Billings,Public,19914,33232
Montana State University-Northern,Public,17025,29735
Montana Technological University,Public,22603,37766
Rocky Mountain College,Private,41472,41472
Salish Kootenai College,Private,17269,22504
The University of Montana,Public,20966,38681
The University of Montana-Western,Public,20991,32453
University of Providence,Private,39768,39768
Bellevue University,Private,20970,20970
Chadron State College,Public,21662,21692
Clarkson College,Private,26842,26842
College of Saint Mary,Private,31590,31590
Concordia University-Nebraska,Private,44110,44110
Creighton University,Private,54952,54952
Doane University-Arts & Sciences,Private,48570,48570
Hastings College,Private,44678,44678
Midland University,Private,44278,44278
Nebraska Christian College of Hope International University,Private,33564,33564
Nebraska Methodist College of Nursing & Allied Health,Private,32116,32116
Nebraska Wesleyan University,Private,48324,48324
Peru State College,Public,20232,20232
Summit Christian College,Private,12018,12018
Union College,Private,35900,35900
University of Nebraska at Kearney,Public,23040,29270
University of Nebraska at Omaha,Public,22300,35274
University of Nebraska-Lincoln,Public,24936,40732
Wayne State College,Public,19178,24608
York College,Private,29580,29580
Great Basin College,Public,14698,21446
Sierra Nevada College,Private,51198,51198
University of Nevada-Las Vegas,Public,24035,39182
University of Nevada-Reno,Public,25039,39676
Colby-Sawyer College,Private,59662,59662
Dartmouth College,Private,74359,74359
Franklin Pierce University,Private,53745,53745
Keene State College,Public,27988,36952
New England College,Private,55386,55386
New Hampshire Institute of Art,Private,44840,44840
Northeast Catholic College,Private,34756,34756
Plymouth State University,Public,28950,37620
Rivier University,Private,49560,49560
Saint Anselm College,Private,59294,59294
Southern New Hampshire University,Private,51538,51538
Thomas More College of Liberal Arts,Private,33500,33500
University of New Hampshire at Manchester,Public,30136,45506
University of New Hampshire-Main Campus,Public,33750,49130
Bais Medrash Mayan Hatorah,Private,16650,16650
Bais Medrash Toras Chesed,Private,11300,11300
Beth Medrash of Asbury Park,Private,18940,18940
Bloomfield College,Private,45946,45946
Caldwell University,Private,50640,50640
Centenary University,Private,49232,49232
College of Saint Elizabeth,Private,52548,52548
Drew University,Private,57230,57230
Fairleigh Dickinson University-Florham Campus,Private,60644,60644
Fairleigh Dickinson University-Metropolitan Campus,Private,58188,58188
Felician University,Private,51550,51550
Georgian Court University,Private,51734,51734
Kean University,Public,30475,37510
Monmouth University,Private,56979,56979
Montclair State University,Public,31704,39492
New Jersey City University,Public,32076,41598
New Jersey Institute of Technology,Public,37738,53150
Princeton University,Private,70900,70900
Rabbi Jacob Joseph School,Private,19200,19200
Rabbinical College of America,Private,23000,23000
Ramapo College of New Jersey,Public,31572,40913
Rider University,Private,62140,62140
Rowan University,Public,32099,40741
Rutgers University-Camden,Public,31934,47712
Rutgers University-New Brunswick,Public,32443,48751
Rutgers University-Newark,Public,32708,49016
Saint Peter’s University,Private,55200,55200
Seton Hall University,Private,59670,59670
Stevens Institute of Technology,Private,69292,69292
Stockton University,Public,30838,37965
Talmudical Academy-New Jersey,Private,20700,20700
The College of New Jersey,Public,34992,46707
William Paterson University of New Jersey,Public,29335,37535
Yeshiva Bais Aharon,Private,15175,15175
Yeshiva Chemdas Hatorah,Private,19830,19830
Yeshiva Gedola Tiferes Yerachmiel,Private,14800,14800
Yeshiva Gedolah Keren Hatorah,Private,14150,14150
Yeshiva Gedolah of Cliffwood,Private,14850,14850
Yeshiva Gedolah Shaarei Shmuel,Private,14900,14900
Yeshiva Gedolah Tiferes Boruch,Private,15300,15300
Yeshiva Gedolah Zichron Leyma,Private,16750,16750
Yeshiva Toras Chaim,Private,21650,21650
Yeshiva Yesodei Hatorah,Private,19800,19800
Yeshivas Be’er Yitzchok,Private,20000,20000
Eastern New Mexico University-Main Campus,Public,18936,20857
Institute of American Indian and Alaska Native Culture and Arts Development,Public,21384,21384
Navajo Technical University,Public,15510,15510
New Mexico Highlands University,Public,19134,23286
New Mexico Institute of Mining and Technology,Public,22410,36908
New Mexico State University-Main Campus,Public,21380,36464
St. John’s College,Private,67916,67916
University of New Mexico-Main Campus,Public,22639,37592
University of the Southwest,Private,27626,27626
Western New Mexico University,Public,22454,29927
Adelphi University,Private,58430,58430
Albany College of Pharmacy and Health Sciences,Private,49585,49585
Alfred University,Private,45104,45104
American Musical and Dramatic Academy,Private,56700,56700
Bais Binyomin Academy,Private,18050,18050
Bais Medrash Elyon,Private,15400,15400
Bard College,Private,72768,72768
Barnard College,Private,74777,74777
Be’er Yaakov Talmudic Seminary,Private,18070,18070
Beis Medrash Heichal Dovid,Private,18000,18000
Bet Medrash Gadol Ateret Torah,Private,17710,17710
Beth Hamedrash Shaarei Yosher Institute,Private,17500,17500
Beth Medrash Meor Yitzchok,Private,20150,20150
Binghamton University,Public,26911,43706
Canisius College,Private,42288,42288
Cazenovia College,Private,51526,51526
Central Yeshiva Tomchei Tmimim Lubavitz,Private,15200,15200
Clarkson University,Private,68112,68112
Colgate University,Private,72275,72275
College of Mount Saint Vincent,Private,52065,52065
College of Staten Island CUNY,Public,32394,40064
Columbia University in the City of New York,Private,76856,76856
Concordia College-New York,Private,48220,48220
Cooper Union for the Advancement of Science and Art,Private,66313,66313
Cornell University,Private,73904,73904
Culinary Institute of America,Private,48180,48180
CUNY Bernard M Baruch College,Public,32681,40351
CUNY City College,Public,29967,37637
CUNY Hunter College,Public,22379,30049
CUNY John Jay College of Criminal Justice,Public,35261,42931
CUNY Lehman College,Public,27857,35527
CUNY Queens College,Public,28907,36577
D’Youville College,Private,43174,43174
Daemen College,Private,43995,43995
Davis College,Private,27650,27650
Dominican College of Blauvelt,Private,46600,46600
Elmira College,Private,55050,55050
Farmingdale State College,Public,24744,34524
Fashion Institute of Technology,Public,24220,34000
Five Towns College,For-Profit,38880,38880
Fordham University,Private,74265,74265
Hamilton College,Private,69990,69990
Hartwick College,Private,59370,59370
Hilbert College,Private,34250,34250
Hobart William Smith Colleges,Private,72040,72040
Hofstra University,Private,63748,63748
Houghton College,Private,45626,45626
Iona College,Private,57440,57440
Ithaca College,Private,62757,62757
Jewish Theological Seminary of America,Private,76848,76848
Kehilath Yakov Rabbinical Seminary,Private,14225,14225
Keuka College,Private,49120,49120
Le Moyne College,Private,51100,51100
LIM College,For-Profit,50980,50980
Long Island University,Private,56283,56283
Machzikei Hadath Rabbinical College,Private,15500,15500
Manhattan College,Private,62128,62128
Manhattan School of Music,Private,68685,68685
Manhattanville College,Private,55690,55690
Marist College,Private,58150,58150
Marymount Manhattan College,Private,58110,58110
Medaille College,Private,45200,45200
Mercy College,Private,38200,38200
Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,Private,17850,17850
Mesivta Torah Vodaath Rabbinical Seminary,Private,19860,19860
Mesivtha Tifereth Jerusalem of America,Private,16500,16500
Mirrer Yeshiva Cent Institute,Private,20612,20612
Molloy College,Private,51856,51856
Monroe College,For-Profit,31278,31278
Mount Saint Mary College,Private,49076,49076
Nazareth College,Private,50235,50235
New York Institute of Technology,Private,58496,58496
New York School of Interior Design,Private,51734,51734
New York University,Private,73566,73566
Niagara University,Private,49830,49830
Nyack College,Private,40497,40497
Ohr Hameir Theological Seminary,Private,21350,21350
Pace University,Private,66499,66499
Paul Smiths College of Arts and Science,Private,45792,45792
Pratt Institute-Main,Private,67742,67742
Rabbinical Academy Mesivta Rabbi Chaim Berlin,Private,19450,19450
Rabbinical College Beth Shraga,Private,23250,23250
Rabbinical College Bobover Yeshiva Bnei Zion,Private,16050,16050
Rabbinical College of Long Island,Private,17700,17700
Rabbinical College of Ohr Shimon Yisroel,Private,18500,18500
Rabbinical College Ohr Yisroel,Private,14850,14850
Rabbinical Seminary of America,Private,19100,19100
Rensselaer Polytechnic Institute,Private,71998,71998
Roberts Wesleyan College,Private,46396,46396
Rochester Institute of Technology,Private,57401,57401
Saint John Fisher College,Private,49210,49210
Sarah Lawrence College,Private,72670,72670
School of Visual Arts,For-Profit,66768,66768
Sh’or Yoshuv Rabbinical College,Private,19560,19560
Siena College,Private,55706,55706
Skidmore College,Private,71730,71730
St Bonaventure University,Private,49136,49136
St Francis College,Private,44488,44488
St John’s University-New York,Private,61408,61408
St Lawrence University,Private,70630,70630
St. Thomas Aquinas College,Private,49310,49310
State University of New York at New Paltz,Public,25641,35421
Stony Brook University,Public,26091,43761
SUNY at Albany,Public,26734,43574
SUNY at Fredonia,Public,23902,33682
SUNY at Purchase College,Public,26982,36762
SUNY Buffalo State,Public,25846,35626
SUNY College at Brockport,Public,24608,34388
SUNY College at Geneseo,Public,25761,35541
SUNY College at Old Westbury,Public,24133,33913
SUNY College at Oswego,Public,24780,34560
SUNY College at Plattsburgh,Public,25059,34839
SUNY College at Potsdam,Public,24914,34694
SUNY College of Agriculture and Technology at Cobleskill,Public,26107,35887
SUNY College of Environmental Science and Forestry,Public,28994,38774
SUNY College of Technology at Alfred,Public,25422,32247
SUNY College of Technology at Canton,Public,24513,28503
SUNY College of Technology at Delhi,Public,24270,28240
SUNY Cortland,Public,25220,35000
SUNY Maritime College,Public,25905,35685
SUNY Morrisville,Public,29300,39350
SUNY Oneonta,Public,25028,34478
SUNY Polytechnic Institute,Public,24360,34140
Syracuse University,Private,70636,70636
Talmudical Institute of Upstate New York,Private,14550,14550
Talmudical Seminary of Bobov,Private,17700,17700
Talmudical Seminary Oholei Torah,Private,21500,21500
The College of New Rochelle,Private,55694,55694
The College of Saint Rose,Private,48588,48588
The Juilliard School,Private,65610,65610
The King’s College,Private,58425,58425
The New School,Private,71361,71361
The Sage Colleges,Private,46600,46600
Torah Temimah Talmudical Seminary,Private,18550,18550
Touro College,Private,37436,37436
Union College,Private,70860,70860
United States Merchant Marine Academy,Public,5075,5075
United Talmudical Seminary,Private,21655,21655
University at Buffalo,Public,27758,45428
University of Rochester,Private,72721,72721
Uta Mesivta of Kiryas Joel,Private,22600,22600
Utica College,Private,35794,35794
Vassar College,Private,72760,72760
Vaughn College of Aeronautics and Technology,Private,48460,48460
Wagner College,Private,64382,64382
Webb Institute,Private,70825,70825
Wells College,Private,56650,56650
Yeshiva D’monsey Rabbinical College,Private,15800,15800
Yeshiva Derech Chaim,Private,19900,19900
Yeshiva Gedola Ohr Yisrael,Private,16600,16600
Yeshiva Gedolah Kesser Torah,Private,19300,19300
Yeshiva Karlin Stolin,Private,20000,20000
Yeshiva Kollel Tifereth Elizer,Private,19960,19960
Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary,Private,22250,22250
Yeshiva of Machzikai Hadas,Private,26130,26130
Yeshiva of Nitra Rabbinical College,Private,16300,16300
Yeshiva of the Telshe Alumni,Private,19700,19700
Yeshiva Ohr Naftoli,Private,18200,18200
Yeshiva Shaar Ephraim,Private,22560,22560
Yeshiva Shaar Hatorah,Private,18380,18380
Yeshiva Shaarei Torah of Rockland,Private,20100,20100
Yeshiva Sholom Shachna,Private,19450,19450
Yeshiva University,Private,62075,62075
Yeshiva Zichron Aryeh,Private,18250,18250
Yeshivas Maharit D’Satmar,Private,19420,19420
Yeshivas Novominsk,Private,17500,17500
Yeshivath Viznitz,Private,18150,18150
Yeshivath Zichron Moshe,Private,21600,21600
Appalachian State University,Public,19194,34001
Barton College,Private,46600,46600
Belmont Abbey College,Private,32894,32894
Bennett College,Private,32817,32817
Brevard College,Private,42440,42440
Campbell University,Private,49640,49640
Carolina Christian College,Private,14700,14700
Catawba College,Private,45842,45842
Chowan University,Private,37070,37070
Davidson College,Private,68594,68594
Duke University,Private,74339,74339
East Carolina University,Public,21672,37949
Elizabeth City State University,Public,12960,16960
Elon University,Private,51049,51049
Fayetteville State University,Public,16802,28410
Gardner-Webb University,Private,46420,46420
Greensboro College,Private,42440,42440
Guilford College,Private,52770,52770
High Point University,Private,52998,52998
Johnson & Wales University-Charlotte,Private,49740,49740
Johnson C Smith University,Private,32136,32136
Lees-McRae College,Private,42800,42800
Lenoir-Rhyne University,Private,52920,52920
Living Arts College,For-Profit,31494,31494
Livingstone College,Private,28390,28390
Mars Hill University,Private,44460,44460
Meredith College,Private,50796,50796
Methodist University,Private,55965,55965
Mid-Atlantic Christian University,Private,30450,30450
Montreat College,Private,39839,39839
North Carolina A & T State University,Public,18136,31346
North Carolina Central University,Public,24419,37126
North Carolina State University at Raleigh,Public,23977,43320
North Carolina Wesleyan College,Private,44050,44050
Pfeiffer University,Private,44960,44960
Piedmont International University,Private,20829,20829
Queens University of Charlotte,Private,48968,48968
Saint Augustine’s University,Private,31862,31862
Salem College,Private,46926,46926
Shaw University,Private,29378,29378
Southeastern Baptist Theological Seminary,Private,18587,18587
St. Andrews University,Private,39656,39656
University of Mount Olive,Private,32500,32500
University of North Carolina at Asheville,Public,20189,36912
University of North Carolina at Chapel Hill,Public,23811,49994
University of North Carolina at Charlotte,Public,23694,37128
University of North Carolina at Greensboro,Public,21297,36456
University of North Carolina at Pembroke,Public,17088,21088
University of North Carolina School of the Arts,Public,22112,38255
University of North Carolina Wilmington,Public,24982,39047
Wake Forest University,Private,71638,71638
Warren Wilson College,Private,51100,51100
Western Carolina University,Public,17705,21705
William Peace University,Private,46130,46130
Wingate University,Private,48746,48746
Winston-Salem State University,Public,20134,30381
Bismarck State College,Public,14676,16272
Dickinson State University,Public,18832,21610
Mayville State University,Public,18606,21339
Minot State University,Public,18324,18324
North Dakota State University-Main Campus,Public,22436,26415
Nueta Hidatsa Sahnish College,Public,15490,15490
Sitting Bull College,Public,14256,14256
Trinity Bible College and Graduate School,Private,27302,27302
United Tribes Technical College,Private,12822,12822
University of Jamestown,Private,34362,34362
University of Mary,Private,29290,29290
University of North Dakota,Public,22091,34155
Valley City State University,Public,18750,28290
Allegheny Wesleyan College,Private,14412,14412
Antioch College,Private,52628,52628
Art Academy of Cincinnati,Private,47050,47050
Ashland University,Private,34792,34792
Baldwin Wallace University,Private,47528,47528
Bluffton University,Private,47566,47566
Bowling Green State University-Main Campus,Public,24915,32903
Capital University,Private,50334,50334
Case Western Reserve University,Private,67332,67332
Cedarville University,Private,40648,40648
Central State University,Public,19278,21278
Cincinnati Christian University,Private,32360,32360
Cleveland Institute of Art,Private,58880,58880
Cleveland Institute of Music,Private,60075,60075
Cleveland State University,Public,29045,33412
Columbus College of Art and Design,Private,49834,49834
Defiance College,Private,46720,46720
Denison University,Private,66870,66870
Franciscan University of Steubenville,Private,39200,39200
Gods Bible School and College,Private,16040,16040
Heidelberg University,Private,44400,44400
Hiram College,Private,49815,49815
John Carroll University,Private,57464,57464
Kent State University at Kent,Public,25886,34588
Kenyon College,Private,71780,71780
Kettering College,Private,27997,27997
Lake Erie College,Private,45510,45510
Lourdes University,Private,36766,36766
Malone University,Private,44660,44660
Marietta College,Private,50154,50154
Miami University-Oxford,Public,33229,52745
Mount Carmel College of Nursing,Private,25247,25247
Mount Saint Joseph University,Private,41742,41742
Mount Vernon Nazarene University,Private,42614,42614
Muskingum University,Private,42314,42314
Notre Dame College,Private,45150,45150
Oberlin College,Private,74636,74636
Ohio Christian University,Private,33532,33532
Ohio Dominican University,Private,45220,45220
Ohio Northern University,Private,47711,47711
Ohio State University-Main Campus,Public,27367,47383
Ohio State University-Mansfield Campus,Public,23002,43018
Ohio State University-Newark Campus,Public,23002,43018
Ohio University-Main Campus,Public,28986,38450
Ohio Wesleyan University,Private,61910,61910
Otterbein University,Private,46908,46908
Pontifical College Josephinum,Private,40050,40050
Rabbinical College Telshe,Private,20200,20200
Shawnee State University,Public,23148,29306
The College of Wooster,Private,64000,64000
The University of Findlay,Private,46920,46920
Tiffin University,Private,40200,40200
University of Akron Main Campus,Public,27279,31316
University of Cincinnati-Main Campus,Public,27476,43810
University of Dayton,Private,59230,59230
University of Mount Union,Private,43795,43795
University of Northwestern Ohio,Private,23980,23980
University of Rio Grande,Private,43875,43875
University of Toledo,Public,28423,37783
Urbana University,Private,39276,39276
Ursuline College,Private,46166,46166
Walsh University,Private,44236,44236
Wilberforce University,Private,23250,23250
Wilmington College,Private,39500,39500
Wittenberg University,Private,53056,53056
Wright State University-Lake Campus,Public,21380,30524
Wright State University-Main Campus,Public,25116,34260
Xavier University,Private,54310,54310
Youngstown State University,Public,22851,23211
Bacone College,Private,35150,35150
Cameron University,Public,16162,25582
East Central University,Public,18292,27502
Family of Faith Christian University,Private,22914,22914
Langston University,Public,20050,27410
Mid-America Christian University,Private,31026,31026
Northeastern State University,Public,17666,25736
Northwestern Oklahoma State University,Public,16951,24038
Oklahoma Baptist University,Private,41576,41576
Oklahoma Christian University,Private,36605,36605
Oklahoma City University,Private,44172,44172
Oklahoma Panhandle State University,Public,16421,17165
Oklahoma State University Institute of Technology,Public,13992,19602
Oklahoma State University-Main Campus,Public,24105,39625
Oklahoma Wesleyan University,Private,40306,40306
Oral Roberts University,Private,42660,42660
Randall University,Private,27656,27656
Rogers State University,Public,22324,30664
Southeastern Oklahoma State University,Public,17430,26070
Southern Nazarene University,Private,38478,38478
Southwestern Christian University,Private,24680,24680
Southwestern Oklahoma State University,Public,21241,28141
Spartan College of Aeronautics and Technology,For-Profit,32334,32334
University of Central Oklahoma,Public,24091,34978
University of Oklahoma-Norman Campus,Public,29097,44478
University of Science and Arts of Oklahoma,Public,18360,28710
University of Tulsa,Private,59725,59725
Concordia University-Portland,Private,44078,44078
Corban University,Private,46350,46350
Eastern Oregon University,Public,22664,34724
George Fox University,Private,50270,50270
Lewis & Clark College,Private,66526,66526
Linfield College-McMinnville Campus,Private,59007,59007
Mount Angel Seminary,Private,37628,37628
Multnomah University,Private,42815,42815
New Hope Christian College-Eugene,Private,25930,25930
Northwest Christian University,Private,42650,42650
Oregon College of Art and Craft,Private,49015,49015
Oregon Institute of Technology,Public,24252,42802
Oregon State University,Public,26892,45867
Oregon State University-Cascades Campus,Public,25884,45129
Pacific Northwest College of Art,Private,55410,55410
Pacific University,Private,59490,59490
Portland State University,Public,26085,44417
Reed College,Private,73207,73207
Southern Oregon University,Public,27510,43440
University of Oregon,Public,27366,50946
University of Portland,Private,62200,62200
Warner Pacific University,Private,31840,31840
Western Oregon University,Public,24315,40539
Willamette University,Private,65109,65109
Albright College,Private,60636,60636
Allegheny College,Private,63180,63180
Alvernia University,Private,51240,51240
Arcadia University,Private,59980,59980
Bloomsburg University of Pennsylvania,Public,25052,36876
Bryn Athyn College of the New Church,Private,36496,36496
Bryn Mawr College,Private,70860,70860
Bucknell University,Private,72750,72750
Cabrini University,Private,47320,47320
Cairn University-Langhorne,Private,40611,40611
California University of Pennsylvania,Public,26644,31262
Carlow University,Private,44378,44378
Carnegie Mellon University,Private,72283,72283
Cedar Crest College,Private,53610,53610
Central Penn College,For-Profit,28830,28830
Chatham University,Private,52131,52131
Chestnut Hill College,Private,54072,54072
Cheyney University of Pennsylvania,Public,24463,29729
Clarion University of Pennsylvania,Public,27975,32854
Clarks Summit University,Private,32910,32910
Curtis Institute of Music,Private,23369,23369
Delaware Valley University,Private,56580,56580
DeSales University,Private,54020,54020
Dickinson College,Private,71339,71339
Drexel University,Private,70223,70223
Duquesne University,Private,54364,54364
East Stroudsburg University of Pennsylvania,Public,26964,39646
Eastern University,Private,49461,49461
Edinboro University of Pennsylvania,Public,25600,29648
Elizabethtown College,Private,60460,60460
Franklin and Marshall College,Private,73070,73070
Gannon University,Private,48464,48464
Geneva College,Private,39450,39450
Gettysburg College,Private,68990,68990
Grove City College,Private,29550,29550
Gwynedd Mercy University,Private,49920,49920
Harrisburg University of Science and Technology,Private,35550,35550
Haverford College,Private,73902,73902
Holy Family University,Private,46850,46850
Immaculata University,Private,46000,46000
Indiana University of Pennsylvania-Main Campus,Public,28595,34346
Juniata College,Private,60368,60368
Keystone College,Private,41970,41970
King’s College,Private,54046,54046
Kutztown University of Pennsylvania,Public,27890,39714
La Roche University,Private,43750,43750
La Salle University,Private,47110,47110
Lackawanna College,Private,30460,30460
Lafayette College,Private,71270,71270
Lancaster Bible College,Private,37370,37370
Lebanon Valley College,Private,59192,59192
Lehigh University,Private,68595,68595
Lincoln University,Public,25682,31598
Lock Haven University,Public,26893,36717
Lycoming College,Private,56155,56155
Manor College,Private,29483,29483
Mansfield University of Pennsylvania,Public,29062,38762
Marywood University,Private,51960,51960
Mercyhurst University,Private,53311,53311
Messiah College,Private,49280,49280
Millersville University of Pennsylvania,Public,30538,40508
Misericordia University,Private,49450,49450
Moore College of Art and Design,Private,60292,60292
Moravian College,Private,60164,60164
Mount Aloysius College,Private,39258,39258
Muhlenberg College,Private,67535,67535
Neumann University,Private,47777,47777
Pennsylvania Academy of the Fine Arts,Private,61071,61071
Pennsylvania College of Art and Design,Private,38782,38782
Pennsylvania College of Technology,Public,33152,40292
Pennsylvania State University-Main Campus,Public,36652,53056
Pennsylvania State University-Penn State Abington,Public,32722,41476
Pennsylvania State University-Penn State Altoona,Public,33396,42648
Pennsylvania State University-Penn State Beaver,Public,31900,40084
Pennsylvania State University-Penn State Berks,Public,33396,42648
Pennsylvania State University-Penn State Brandywine,Public,32666,41226
Pennsylvania State University-Penn State Erie-Behrend College,Public,33396,42648
Pennsylvania State University-Penn State Greater Allegheny,Public,31900,40084
Pennsylvania State University-Penn State Harrisburg,Public,33396,42648
Pennsylvania State University-Penn State Hazleton,Public,32666,41226
Pennsylvania State University-Penn State Mont Alto,Public,31900,40084
Pennsylvania State University-Penn State Schuylkill,Public,32666,41226
Pittsburgh Technical College,Private,33683,33683
Point Park University,Private,46090,46090
Robert Morris University,Private,48220,48220
Rosemont College,Private,35356,35356
Saint Charles Borromeo Seminary-Overbrook,Private,39170,39170
Saint Francis University,Private,53700,53700
Saint Joseph’s University,Private,61994,61994
Saint Vincent College,Private,50329,50329
Seton Hill University,Private,51432,51432
Shippensburg University of Pennsylvania,Public,29086,37128
Slippery Rock University of Pennsylvania,Public,25147,29005
Susquehanna University,Private,62480,62480
Swarthmore College,Private,71167,71167
Talmudical Yeshiva of Philadelphia,Private,19600,19600
Temple University,Public,33004,45100
The Restaurant School at Walnut Hill College,For-Profit,39938,39938
The University of the Arts,Private,67741,67741
Thiel College,Private,48450,48450
Thomas Jefferson University,Private,59762,59762
University of Pennsylvania,Private,74408,74408
University of Pittsburgh-Bradford,Public,28100,39344
University of Pittsburgh-Greensburg,Public,29278,40522
University of Pittsburgh-Johnstown,Public,28694,39938
University of Pittsburgh-Pittsburgh Campus,Public,33503,46475
University of Scranton,Private,62686,62686
University of the Sciences,Private,45638,45638
University of Valley Forge,Private,35787,35787
Ursinus College,Private,68122,68122
Villanova University,Private,70728,70728
Washington & Jefferson College,Private,61814,61814
Waynesburg University,Private,37000,37000
West Chester University of Pennsylvania,Public,27074,38898
Westminster College,Private,50186,50186
Widener University,Private,63422,63422
Wilkes University,Private,55676,55676
Wilson College,Private,39149,39149
Yeshivath Beth Moshe,Private,17100,17100
York College of Pennsylvania,Private,34550,34550
Brown University,Private,73802,73802
Bryant University,Private,62320,62320
Johnson & Wales University-Providence,Private,50454,50454
New England Institute of Technology,Private,47792,47792
Providence College,Private,67300,67300
Rhode Island College,Public,23398,36161
Rhode Island School of Design,Private,70560,70560
Roger Williams University,Private,54642,54642
Salve Regina University,Private,58500,58500
University of Rhode Island,Public,30351,47075
Allen University,Private,23170,23170
Anderson University,Private,43110,43110
Benedict College,Private,28000,28000
Bob Jones University,Private,27926,27926
Charleston Southern University,Private,40940,40940
Citadel Military College of South Carolina,Public,29663,52135
Claflin University,Private,33198,33198
Clemson University,Public,31270,53024
Clinton College,Private,21771,21771
Coastal Carolina University,Public,25520,40632
Coker College,Private,42048,42048
College of Charleston,Public,30239,49421
Columbia College,Private,33123,33123
Columbia International University,Private,36150,36150
Converse College,Private,34230,34230
Erskine College,Private,53500,53500
Francis Marion University,Public,24854,35366
Furman University,Private,65024,65024
Lander University,Public,24700,34300
Limestone College,Private,41001,41001
Morris College,Private,25995,25995
Newberry College,Private,41199,41199
North Greenville University,Private,36682,36682
Presbyterian College,Private,52910,52910
South Carolina State University,Public,30060,40750
Southern Wesleyan University,Private,37856,37856
University of South Carolina-Aiken,Public,24818,35276
University of South Carolina-Beaufort,Public,25142,36188
University of South Carolina-Columbia,Public,28303,48983
University of South Carolina-Upstate,Public,25442,37110
Voorhees College,Private,26336,26336
Winthrop University,Public,28938,43194
Wofford College,Private,60363,60363
Augustana University,Private,46982,46982
Black Hills State University,Public,21211,24256
Dakota State University,Public,21992,24965
Dakota Wesleyan University,Private,37840,37840
Mount Marty College,Private,40888,40888
Northern State University,Public,21826,24799
Oglala Lakota College,Public,12034,12034
Presentation College,Private,33983,33983
South Dakota School of Mines and Technology,Public,25020,29280
South Dakota State University,Public,23127,26491
University of Sioux Falls,Private,30230,30230
University of South Dakota,Public,22856,26220
American Baptist College,Private,24644,24644
Austin Peay State University,Public,24946,40186
Baptist Memorial College of Health Sciences,Private,23207,23207
Belmont University,Private,52760,52760
Bethel University,Private,31570,31570
Bryan College-Dayton,Private,38250,38250
Carson-Newman University,Private,41320,41320
Christian Brothers University,Private,46036,46036
Cumberland University,Private,37990,37990
East Tennessee State University,Public,24068,42332
Fisk University,Private,37070,37070
Freed-Hardeman University,Private,34950,34950
Hiwassee College,Private,31594,31594
Johnson University,Private,27062,27062
King University,Private,43490,43490
Lane College,Private,21900,21900
Le Moyne-Owen College,Private,19296,19296
Lee University,Private,31150,31150
Lincoln Memorial University,Private,36880,36880
Lipscomb University,Private,49546,49546
Martin Methodist College,Private,41646,41646
Maryville College,Private,50254,50254
Mid-South Christian College,Private,17289,17289
Middle Tennessee State University,Public,22964,41204
Milligan College,Private,43802,43802
Rhodes College,Private,63040,63040
Southern Adventist University,Private,34990,34990
Tennessee State University,Public,22998,35718
Tennessee Technological University,Public,26131,41995
Tennessee Wesleyan University,Private,36080,36080
The University of Tennessee-Chattanooga,Public,23614,39732
The University of Tennessee-Knoxville,Public,31510,49930
The University of Tennessee-Martin,Public,21246,27286
The University of the South,Private,60950,60950
